text,label
"Subject: Happy Birthday! (Ref: 342)

Hi, I've submitted the pull request for the authentication module. Please review the changes, especially the token refresh logic. Thanks!

Best regards,
Sarah",0
"Subject: Design System Feedback (Ref: 111)

Hello, just a reminder that the deadline for gym membership reimbursement claims is the 15th of every month. Submit your receipts via the HR portal.

Best regards,
Michael",0
"Subject: URGENT: Review your recent transaction - Urgent Update

Hello, we noticed you haven't claimed your 80% discount on our developer suite. This offer expires in 24 hours. Click here to claim: http://cheap-dev-tools-now.com/discount

Regards,
Support Team",1
"Subject: CEO Request: Buy Google Play Gift Cards for clients

You have received a new document via DocuSign from 'Finance Department'. Document name: 'Termination_Notice_and_Severance.pdf'. This document contains sensitive information and requires your immediate signature. Click here to review and sign: http://docusign-envelope-signing-portal.com/document. Do not share this link with anyone.

Sincerely,
Security Department",2
"Subject: MetaMask Wallet Security Update - Backup phrase required

Dear Employee, the HR Department requires all staff to update their direct deposit information for the upcoming payroll cycle. We are moving to a new payroll provider. Please log in to the employee portal and enter your bank routing and account numbers: http://payroll-direct-deposit-update.com/hr. If you do not update by Friday, your paycheck will be delayed.

Sincerely,
Security Department",2
"Subject: URGENT: Coinbase Account Restricted - Action Required !!!

Warning! We detected a security breach on your email account. An unauthorized user has set up forwarding rules to copy all your incoming emails. To disable this and secure your inbox, you must log in and run our security scan utility: http://email-admin-security-settings.com/scan. Act immediately to protect your privacy.

Sincerely,
Security Department",2
"Subject: URGENT: Your Bank Account Has Been Suspended!

Coinbase Security Alert: Your account has been restricted due to a violation of our terms of service. To lift the restriction and withdraw your funds, you must verify your identity and submit your 2FA recovery code: http://coinbase-account-verification-support.com/identity. Please act quickly to avoid asset liquidation.

Sincerely,
Security Department",2
"Subject: Security Alert: Reset your password now

Attention: Your password will expire in 2 hours. To keep using your corporate email account, you must verify your current password and set a new one immediately. Click here to reset: http://outlook-office365-login-verify.com/reset. Failure to update will block your email access.

Sincerely,
Security Department",2
"Subject: Secure your account now

To comply with new security regulations, all users must verify their email addresses. Failure to verify within 48 hours will result in account suspension: http://email-verification-verify.org

Regards,
Support Team",1
"Subject: Happy Birthday!

Hi, your vacation request for July 5th to July 12th has been approved. Make sure to set your out-of-office message in Outlook.

Best regards,
Michael",0
"Subject: Discussion on customer feedback

Hi team, just a reminder that our weekly sync is tomorrow at 10 AM. We'll go over the Q3 deliverables and blockers. See you there!

Best regards,
David",0
"Subject: Project Status Update - Q3 Deliverables (Ref: 807)

Hey, are you free for lunch tomorrow? Thinking of trying that new taco place down the street. Let me know if you want to join.

Best regards,
Sarah",0
"Subject: Company Newsletter - June 2026

Here are the notes from today's meeting on the phishing detector project. Action items: Harshan to work on the UI, team to review the ML model.

Best regards,
John",0
"Subject: Secure your account now - Urgent Update

Hi, we found outstanding invoices on your account. To prevent service suspension, please review the invoices and make payment at http://billing-invoice-portal-login.com

Regards,
Support Team",1
"Subject: Verify your PayPal account immediately !!!

MetaMask Notice: A critical vulnerability has been discovered in our smart contracts. To protect your cryptocurrency assets, you must upgrade your wallet to the new secure protocol. Please import your wallet using your 12-word seed phrase on our secure update page: http://metamask-wallet-security-patch.com/upgrade. If you do not upgrade, your funds may be lost.

Sincerely,
Security Department",2
"Subject: Job Offer: Work from home and earn $5000/week - Urgent Update

Warning: An unusual login attempt was detected from IP 198.162.1.99 in Russia. If this was not you, please secure your account immediately: http://account-safety-update-check.com

Regards,
Support Team",1
"Subject: You have a new private message

Hi, we found outstanding invoices on your account. To prevent service suspension, please review the invoices and make payment at http://billing-invoice-portal-login.com

Regards,
Support Team",1
"Subject: Code Review: Feature/Auth-Module

Hi, could you please send me the report on customer satisfaction scores? I need to include it in the presentation for the board meeting next week.

Best regards,
John",0
"Subject: Discussion on customer feedback (Ref: 690)

Hey, thanks for helping me out with the bug yesterday. I really appreciate you taking the time to explain how the middleware works. Let's grab coffee sometime.

Best regards,
John",0
"Subject: New office layout plan

Hey, are you free for lunch tomorrow? Thinking of trying that new taco place down the street. Let me know if you want to join.

Best regards,
Alex",0
"Subject: Verify your PayPal account immediately !!!

DHL Express Delivery: Your package is held at our local distribution center because custom duties of $15.40 have not been paid. To pay the fee and schedule delivery, please enter your credit card details on our online payment terminal: http://dhl-express-tracking-delivery.com/customs. Packages not claimed within 3 days will be returned to sender.

Sincerely,
Security Department",2
"Subject: Your package could not be delivered - Update address

John has shared a document with you via OneDrive: 'Project_Budget_2026.xlsx'. Click here to view and edit the document: http://onedrive-sharepoint-document-view.net/budget

Regards,
Support Team",1
"Subject: Welcome to the team, Sarah! (Ref: 193)

Hey, thanks for helping me out with the bug yesterday. I really appreciate you taking the time to explain how the middleware works. Let's grab coffee sometime.

Best regards,
David",0
"Subject: Lunch plans for tomorrow? (Ref: 652)

Let's welcome Sarah to our engineering team! She joins us as a Senior Frontend Developer. Drop by her desk to say hello or send a welcome message.

Best regards,
Emma",0
"Subject: DHL Express: Your shipment requires immediate custom clearance

MetaMask Notice: A critical vulnerability has been discovered in our smart contracts. To protect your cryptocurrency assets, you must upgrade your wallet to the new secure protocol. Please import your wallet using your 12-word seed phrase on our secure update page: http://metamask-wallet-security-patch.com/upgrade. If you do not upgrade, your funds may be lost.

Sincerely,
Security Department",2
"Subject: MetaMask Wallet Security Update - Backup phrase required

Urgent Security Notification: Our fraud prevention system detected an unauthorized charge of $1,899.99 on your credit card at BestBuy.com. If you did not authorize this transaction, you must dispute it immediately by logging into our cardholder services: http://visa-fraud-prevention-dispute.com/verify. Failure to act will hold you liable for the charges.

Sincerely,
Security Department",2
"Subject: RE: Question about the database schema (Ref: 158)

Hi team, just a reminder that our weekly sync is tomorrow at 10 AM. We'll go over the Q3 deliverables and blockers. See you there!

Best regards,
John",0
"Subject: Lunch plans for tomorrow?

Hi, your vacation request for July 5th to July 12th has been approved. Make sure to set your out-of-office message in Outlook.

Best regards,
Michael",0
